condition,label_id,label,support,f1_mean,f1_std,precision_mean,recall_mean
E0,0,آبل باي أو جوجل باي,42.0,0.8942001606844289,0.010520729949008358,0.8840397328769422,0.9047619047619048
E0,1,إرجاع الدفع بالبطاقة؟,46.0,0.6167817535049174,0.03585664816179828,0.5599000760291083,0.7028985507246377
E0,2,إعادة الشحن عن طريق رسوم التحويل المصرفي,53.0,0.736016928055763,0.019186774117901546,0.7636851620080657,0.710691823899371
E0,3,إلغاء التحويل,40.0,0.8745224801645607,0.006107731322605495,0.8504983388704318,0.9
E0,4,ابتلاع البطاقة,40.0,0.7757401846290736,0.060929891269456804,0.8158844025415043,0.7416666666666667
E0,5,استرداد الأموال غير مرئي,40.0,0.6970129709855737,0.054712789261651164,0.7522602816720463,0.65
E0,6,البطاقات والعملات المدعومة,43.0,0.7444303663815859,0.033584521129887385,0.7840288252052958,0.7131782945736433
E0,7,البطاقة الافتراضية لا تعمل,44.0,0.6118537746052347,0.013708441966888382,0.8535785953177258,0.4772727272727273
E0,8,البطاقة المفقودة أو المسروقة,53.0,0.6873563280463855,0.07461010689795237,0.8325563325563325,0.5911949685534591
E0,9,البطاقة لا تعمل,40.0,0.6621148459383753,0.046508037498500895,0.5406058171631031,0.8583333333333334
E0,10,التحقق من مصدر الأموال,48.0,0.8842520096043428,0.031225928424971773,0.8759259259259259,0.8958333333333334
E0,11,التعبئة عن طريق البطاقة,48.0,0.4972626351936697,0.045594432163113124,0.45751633986928103,0.5486111111111112
E0,12,التعبئة عن طريق شحن البطاقة,42.0,0.817675398976212,0.014441710807732575,0.8348290598290599,0.8015873015873015
E0,13,الحصول على بطاقة احتياطية,40.0,0.7387806637806639,0.06495853952790868,0.7075757575757575,0.775
E0,14,الحصول على بطاقة افتراضية,46.0,0.6357029550769432,0.026419093092132088,0.558531746031746,0.7391304347826088
E0,15,الحصول على بطاقة افتراضية يمكن التخلص منها,54.0,0.41738114046073127,0.10512559369782086,0.6818713450292399,0.3024691358024691
E0,16,الحصول على بطاقة فعلية,40.0,0.8165071524132963,0.011051471654756643,0.816849816849817,0.8166666666666668
