label,label_id,f1_seed_42,f1_seed_123,f1_seed_2026
آبل باي أو جوجل باي,0,0.8351648351648352,0.891566265060241,0.8735632183908046
إرجاع الدفع بالبطاقة؟,1,0.5691056910569106,0.5853658536585366,0.5849056603773585
إعادة الشحن عن طريق رسوم التحويل المصرفي,2,0.660377358490566,0.7169811320754716,0.6386554621848739
إلغاء التحويل,3,0.875,0.8181818181818182,0.8571428571428571
ابتلاع البطاقة,4,0.7777777777777778,0.7272727272727273,0.7142857142857143
استرداد الأموال غير مرئي,5,0.7714285714285715,0.7323943661971831,0.6987951807228916
البطاقات والعملات المدعومة,6,0.7446808510638298,0.6956521739130435,0.7692307692307693
البطاقة الافتراضية لا تعمل,7,0.5714285714285714,0.5,0.5970149253731343
البطاقة المفقودة أو المسروقة,8,0.6373626373626373,0.7216494845360825,0.6938775510204082
البطاقة لا تعمل,9,0.7216494845360825,0.616822429906542,0.66
التحقق من مصدر الأموال,10,0.8791208791208791,0.8505747126436781,0.8695652173913043
التعبئة عن طريق البطاقة,11,0.5060240963855421,0.425,0.3846153846153846
التعبئة عن طريق شحن البطاقة,12,0.825,0.8181818181818182,0.7848101265822784
الحصول على بطاقة احتياطية,13,0.717391304347826,0.6868686868686869,0.723404255319149
الحصول على بطاقة افتراضية,14,0.6017699115044248,0.6346153846153846,0.7692307692307693
الحصول على بطاقة افتراضية يمكن التخلص منها,15,0.3157894736842105,0.2647058823529412,0.6021505376344086
الحصول على بطاقة فعلية,16,0.8292682926829268,0.810126582278481,0.8536585365853658
الدفع المباشر للدين غير معروف,17,0.7,0.7291666666666666,0.6666666666666666
الدفع بالبطاقة المعلق,18,0.6868686868686869,0.6808510638297872,0.6813186813186813
الدفع بالبطاقة غير معترف به,19,0.4415584415584415,0.4864864864864865,0.5822784810126582
السحب النقدي غير معترف به,20,0.6736842105263158,0.7096774193548387,0.6458333333333334
الصرف عبر التطبيق,21,0.7901234567901234,0.7191011235955056,0.7692307692307693
المستفيد غير مسموح به,22,0.6732673267326733,0.6938775510204082,0.6605504587155964
الهاتف المفقود أو المسروق,23,0.8045977011494253,0.8354430379746836,0.8275862068965517
انتظار التحويل,24,0.6133333333333333,0.5483870967741935,0.5507246376811594
انهاء حساب,25,0.8333333333333334,0.8571428571428571,0.8188976377952756
بطاقة على وشك الانتهاء,26,0.85,0.8470588235294118,0.8607594936708861
بطاقة مخترقة,27,0.5866666666666667,0.5915492957746479,0.6046511627906976
تحرير التفاصيل الشخصية,28,0.8631578947368421,0.8888888888888888,0.8842105263157894
تحصيل رسوم التحويل,29,0.6206896551724138,0.6436781609195402,0.6506024096385542
تحقق من تعبئة الرصيد,30,0.8674698795180723,0.942528735632184,0.8051948051948052
تحقق من هويتي,31,0.7804878048780488,0.7804878048780488,0.7710843373493976
تعبئة الرصيد نقدًا أو بشيك,32,0.732824427480916,0.7419354838709677,0.6991869918699187
تعبئة تلقائية,33,0.8347826086956521,0.8360655737704918,0.7833333333333333
تغيير رمز التعريف الشخصي,34,0.865979381443299,0.9166666666666666,0.9052631578947368
تفعيل بطاقتي,35,0.6956521739130435,0.7671232876712328,0.7631578947368421
تقدير تسليم البطاقة,36,0.7228915662650602,0.6835443037974683,0.6666666666666666
تلقي الأموال,37,0.8034188034188035,0.7766990291262136,0.831858407079646
تلقي مبلغ خاطئ من النقد,38,0.8490566037735849,0.7479674796747967,0.8037383177570093
تم التحصيل مرتين,39,0.8909090909090909,0.8596491228070176,0.8648648648648649
تم تحصيل رسوم الدفع بالبطاقة,40,0.725925925925926,0.752,0.7286821705426356
تم رفض الدفع بالبطاقة,41,0.5555555555555556,0.5714285714285714,0.6376811594202898
توقيت التحويل,42,0.7010309278350515,0.7010309278350515,0.6382978723404256
حد السن,43,0.8936170212765957,0.8936170212765957,0.9130434782608696
حدود البطاقة التي يمكن التخلص منها,44,0.7578947368421053,0.75,0.8444444444444444
حدود التعبئة,45,0.822429906542056,0.8411214953271028,0.8041237113402062
دعم أجهزة الصراف الآلي,46,0.8941176470588236,0.902439024390244,0.8539325842696629
دعم البلد,47,0.9367088607594936,0.925,0.8641975308641975
دعم العملات الورقية,48,0.6966292134831461,0.7272727272727273,0.6823529411764706
ربط البطاقة,49,0.7538461538461538,0.8135593220338984,0.8376068376068376
رسوم إضافية على كشف الحساب,50,0.7380952380952381,0.7142857142857143,0.7435897435897436
رسوم السحب النقدي,51,0.6666666666666666,0.7272727272727273,0.6904761904761905
رسوم الصرف,52,0.6857142857142857,0.7532467532467533,0.6666666666666666
رفض التحويل,53,0.5538461538461539,0.6060606060606061,0.6753246753246753
رفض السحب النقدي,54,0.7142857142857143,0.7764705882352941,0.7446808510638298
رمز التعريف الشخصي محظور,55,0.75,0.7733333333333333,0.7105263157894737
سعر الصرف,56,0.8641975308641975,0.8536585365853658,0.875
سعر الصرف الخاطئ للدفع بالبطاقة,57,0.7931034482758621,0.8,0.8113207547169812
سعر صرف خاطئ للسحب النقدي,58,0.6176470588235294,0.759493670886076,0.7804878048780488
طلب استرداد,59,0.8051948051948052,0.7714285714285715,0.7323943661971831
طلب بطاقة فعلية,60,0.6165413533834586,0.6861313868613139,0.7096774193548387
عادت تعبئة الرصيد,61,0.6172839506172839,0.5494505494505495,0.5925925925925926
عدم التلامس لا يعمل,62,0.8604651162790697,0.8705882352941177,0.8863636363636364
غير قادر على التحقق من الهوية,63,0.7792207792207793,0.8,0.7951807228915663
فشل التحويل,64,0.5806451612903226,0.6136363636363636,0.5287356321839081
فشل التعبئة,65,0.6153846153846154,0.6172839506172839,0.5542168674698795
في انتظار التعبئة,66,0.6459627329192547,0.68,0.6797385620915033
في انتظار السحب النقدي,67,0.859375,0.8130081300813008,0.8188976377952756
فيزا أو ماستر كارد,68,0.8536585365853658,0.8888888888888888,0.902439024390244
قبول البطاقة,69,0.7466666666666667,0.72,0.7058823529411765
لم يتم تحديث الرصيد بعد التحويل المصرفي,70,0.6086956521739131,0.5692307692307692,0.6181818181818182
لم يتم تحديث الرصيد بعد الشيك أو الإيداع النقدي,71,0.7076923076923077,0.7397260273972602,0.7631578947368421
لم يستلم المستلم التحويل,72,0.7047619047619048,0.6379310344827587,0.5648854961832062
لماذا التحقق من الهوية,73,0.6896551724137931,0.6595744680851063,0.6578947368421053
نسيان رمز المرور,74,0.868421052631579,0.8607594936708861,0.8607594936708861
نقل إلى الحساب,75,0.7727272727272727,0.746268656716418,0.746268656716418
وصول البطاقة,76,0.6285714285714286,0.6481481481481481,0.6407766990291263
