label,label_id,precision,recall,f1_score,support,class_code
آبل باي أو جوجل باي,0,0.8444444444444444,0.9047619047619048,0.8735632183908046,42.0,L00
إرجاع الدفع بالبطاقة؟,1,0.5166666666666667,0.6739130434782609,0.5849056603773585,46.0,L01
إعادة الشحن عن طريق رسوم التحويل المصرفي,2,0.5757575757575758,0.7169811320754716,0.6386554621848739,53.0,L02
إلغاء التحويل,3,0.8181818181818182,0.9,0.8571428571428571,40.0,L03
ابتلاع البطاقة,4,0.8333333333333334,0.625,0.7142857142857143,40.0,L04
استرداد الأموال غير مرئي,5,0.6744186046511628,0.725,0.6987951807228916,40.0,L05
البطاقات والعملات المدعومة,6,0.7291666666666666,0.813953488372093,0.7692307692307693,43.0,L06
البطاقة الافتراضية لا تعمل,7,0.8695652173913043,0.4545454545454545,0.5970149253731343,44.0,L07
البطاقة المفقودة أو المسروقة,8,0.7555555555555555,0.6415094339622641,0.6938775510204082,53.0,L08
البطاقة لا تعمل,9,0.55,0.825,0.66,40.0,L09
التحقق من مصدر الأموال,10,0.9090909090909092,0.8333333333333334,0.8695652173913043,48.0,L10
التعبئة عن طريق البطاقة,11,0.3571428571428571,0.4166666666666667,0.3846153846153846,48.0,L11
التعبئة عن طريق شحن البطاقة,12,0.8378378378378378,0.7380952380952381,0.7848101265822784,42.0,L12
الحصول على بطاقة احتياطية,13,0.6296296296296297,0.85,0.723404255319149,40.0,L13
الحصول على بطاقة افتراضية,14,0.7777777777777778,0.7608695652173914,0.7692307692307693,46.0,L14
الحصول على بطاقة افتراضية يمكن التخلص منها,15,0.717948717948718,0.5185185185185185,0.6021505376344086,54.0,L15
الحصول على بطاقة فعلية,16,0.8333333333333334,0.875,0.8536585365853658,40.0,L16
الدفع المباشر للدين غير معروف,17,0.8055555555555556,0.5686274509803921,0.6666666666666666,51.0,L17
الدفع بالبطاقة المعلق,18,0.8157894736842105,0.5849056603773585,0.6813186813186813,53.0,L18
الدفع بالبطاقة غير معترف به,19,0.5897435897435898,0.575,0.5822784810126582,40.0,L19
السحب النقدي غير معترف به,20,0.5636363636363636,0.7560975609756098,0.6458333333333334,41.0,L20
الصرف عبر التطبيق,21,0.7894736842105263,0.75,0.7692307692307693,40.0,L21
المستفيد غير مسموح به,22,0.6206896551724138,0.7058823529411765,0.6605504587155964,51.0,L22
الهاتف المفقود أو المسروق,23,0.782608695652174,0.8780487804878049,0.8275862068965517,41.0,L23
انتظار التحويل,24,0.7037037037037037,0.4523809523809524,0.5507246376811594,42.0,L24
انهاء حساب,25,0.8666666666666667,0.7761194029850746,0.8188976377952756,67.0,L25
بطاقة على وشك الانتهاء,26,0.918918918918919,0.8095238095238095,0.8607594936708861,42.0,L26
بطاقة مخترقة,27,0.5652173913043478,0.65,0.6046511627906976,40.0,L27
تحرير التفاصيل الشخصية,28,0.84,0.9333333333333332,0.8842105263157894,45.0,L28
تحصيل رسوم التحويل,29,0.627906976744186,0.675,0.6506024096385542,40.0,L29
تحقق من تعبئة الرصيد,30,0.9393939393939394,0.7045454545454546,0.8051948051948052,44.0,L30
تحقق من هويتي,31,0.7441860465116279,0.8,0.7710843373493976,40.0,L31
تعبئة الرصيد نقدًا أو بشيك,32,0.7049180327868853,0.6935483870967742,0.6991869918699187,62.0,L32
تعبئة تلقائية,33,0.7966101694915254,0.7704918032786885,0.7833333333333333,61.0,L33
تغيير رمز التعريف الشخصي,34,0.9555555555555556,0.86,0.9052631578947368,50.0,L34
تفعيل بطاقتي,35,0.90625,0.6590909090909091,0.7631578947368421,44.0,L35
تقدير تسليم البطاقة,36,0.6444444444444445,0.6904761904761905,0.6666666666666666,42.0,L36
تلقي الأموال,37,0.7833333333333333,0.8867924528301887,0.831858407079646,53.0,L37
تلقي مبلغ خاطئ من النقد,38,0.7818181818181819,0.8269230769230769,0.8037383177570093,52.0,L38
تم التحصيل مرتين,39,0.8275862068965517,0.9056603773584906,0.8648648648648649,53.0,L39
تم تحصيل رسوم الدفع بالبطاقة,40,0.7014925373134329,0.7580645161290323,0.7286821705426356,62.0,L40
تم رفض الدفع بالبطاقة,41,0.7586206896551724,0.55,0.6376811594202898,40.0,L41
توقيت التحويل,42,0.5555555555555556,0.75,0.6382978723404256,40.0,L42
حد السن,43,0.8936170212765957,0.9333333333333332,0.9130434782608696,45.0,L43
حدود البطاقة التي يمكن التخلص منها,44,0.9047619047619048,0.7916666666666666,0.8444444444444444,48.0,L44
حدود التعبئة,45,0.8863636363636364,0.7358490566037735,0.8041237113402062,53.0,L45
دعم أجهزة الصراف الآلي,46,0.7916666666666666,0.926829268292683,0.8539325842696629,41.0,L46
دعم البلد,47,0.8536585365853658,0.875,0.8641975308641975,40.0,L47
دعم العملات الورقية,48,0.725,0.6444444444444445,0.6823529411764706,45.0,L48
ربط البطاقة,49,0.7777777777777778,0.9074074074074074,0.8376068376068376,54.0,L49
رسوم إضافية على كشف الحساب,50,0.7631578947368421,0.725,0.7435897435897436,40.0,L50
رسوم السحب النقدي,51,0.7073170731707317,0.6744186046511628,0.6904761904761905,43.0,L51
رسوم الصرف,52,0.92,0.5227272727272727,0.6666666666666666,44.0,L52
رفض التحويل,53,0.8125,0.5777777777777777,0.6753246753246753,45.0,L53
رفض السحب النقدي,54,0.7446808510638298,0.7446808510638298,0.7446808510638298,47.0,L54
رمز التعريف الشخصي محظور,55,0.75,0.675,0.7105263157894737,40.0,L55
سعر الصرف,56,0.875,0.875,0.875,40.0,L56
سعر الصرف الخاطئ للدفع بالبطاقة,57,0.86,0.7678571428571429,0.8113207547169812,56.0,L57
سعر صرف خاطئ للسحب النقدي,58,0.8,0.7619047619047619,0.7804878048780488,42.0,L58
طلب استرداد,59,0.8387096774193549,0.65,0.7323943661971831,40.0,L59
طلب بطاقة فعلية,60,0.6470588235294118,0.7857142857142857,0.7096774193548387,56.0,L60
عادت تعبئة الرصيد,61,0.6153846153846154,0.5714285714285714,0.5925925925925926,42.0,L61
عدم التلامس لا يعمل,62,0.951219512195122,0.8297872340425532,0.8863636363636364,47.0,L62
غير قادر على التحقق من الهوية,63,0.7857142857142857,0.8048780487804879,0.7951807228915663,41.0,L63
فشل التحويل,64,0.7666666666666667,0.4035087719298245,0.5287356321839081,57.0,L64
فشل التعبئة,65,0.6571428571428571,0.4791666666666667,0.5542168674698795,48.0,L65
في انتظار التعبئة,66,0.5909090909090909,0.8,0.6797385620915033,65.0,L66
في انتظار السحب النقدي,67,0.912280701754386,0.7428571428571429,0.8188976377952756,70.0,L67
فيزا أو ماستر كارد,68,0.902439024390244,0.902439024390244,0.902439024390244,41.0,L68
قبول البطاقة,69,0.6666666666666666,0.75,0.7058823529411765,40.0,L69
